178,0.86,20.7,15,4,6,16,22528
134,0.88,21,4,4,6,17,21742
37,0.94,18.7,15,4,6,18,20854
11,0.95,17.8,15,4,6,19,20244
-2,0.88,19,6,4,6,20,19884
-9,0.97,17.3,17,4,6,21,19039
-7,0.88,19,7,4,6,22,18549
-8,0.88,19,7,4,6,23,18104
-8,0.83,19,6,5,6,0,17624
-10,0.88,18,6,5,6,1,17400
-9,0.94,17,6,5,6,2,17393
-13,0.97,15.2,15,5,6,3,17181
-22,0.97,15,15,5,6,4,17261
-17,0.97,14.6,13,5,6,5,17146
-12,0.94,17,6,5,6,6,18216
25,0.94,17,6,5,6,7,18641
52,0.94,17,4,5,6,8,18801
2,0.88,18,6,5,6,9,18875
339,0.94,18.3,19,5,6,10,18632
171,0.94,17,6,5,6,11,18848
54,0.88,17,4,5,6,12,18798
35,0.88,17,7,5,6,13,19237
38,0.97,15.6,17,5,6,14,18917
49,0.96,15.3,17,5,6,15,19160
250,0.95,16.5,17,5,6,16,19423
241,0.93,16.7,17,5,6,17,19404
184,0.94,16.5,17,5,6,18,19174
90,0.73,19,6,5,6,19,18966
66,0.96,15.7,15,5,6,20,18519
0,0.96,15.3,15,5,6,21,18034
-6,0.88,16,6,5,6,22,17275
-4,0.96,14.2,15,5,6,23,17093
-2,0.88,16,6,6,6,0,16752
-3,0.97,13.3,13,6,6,1,16483
-3,0.82,16,7,6,6,2,16553
-2,0.88,16,6,6,6,3,16503
-2,0.98,13,11,6,6,4,16518
0,0.98,12.8,11,6,6,5,16549
-2,0.94,15,6,6,6,6,16669
2,0.94,15,6,6,6,7,16930
8,0.99,12.7,11,6,6,8,16987
16,0.99,15.3,11,6,6,9,17844
124,0.98,16.5,11,6,6,10,18190
110,0.94,16,4,6,6,11,18755
141,0.96,18.3,9,6,6,12,19168
167,0.94,19.3,9,6,6,13,19492
274,0.94,18,6,6,6,14,19793
365,0.92,20.8,6,6,6,15,19779
312,0.92,20.9,6,6,6,16,19850
268,0.93,20.8,6,6,6,17,19418
219,0.94,20.6,7,6,6,18,18897
142,0.83,21,2,6,6,19,18396
47,0.97,19.1,7,6,6,20,18176
-16,0.97,18.4,7,6,6,21,18239
-31,0.98,18,7,6,6,22,17957
-43,0.78,20,4,6,6,23,17360
-46,0.98,17,9,7,6,0,17092
-45,0.99,16.6,11,7,6,1,17032
-18,0.99,16.4,11,7,6,2,16959
-9,0.88,18,7,7,6,3,17174
-12,0.88,18,6,7,6,4,17206
-13,0.98,16,9,7,6,5,16912
-12,0.88,18,6,7,6,6,17501
8,0.88,18,6,7,6,7,17743
